Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
310;Trey Lyles;PF;28;SAC;58;0;200;25;55;.445;14;38;.384;10;18;.578;.576;8;12;.700;11;34;44;12;3;3;7;15;72;lylestr01
311;Théo Maledon;PG;22;TOT;17;1;125;12;41;.286;3;18;.167;9;24;.375;.321;8;9;.933;2;12;14;16;4;0;11;12;35;maledth01
312;Sandro Mamukelashvili;C;24;SAS;46;5;98;16;34;.471;4;14;.297;12;20;.593;.532;5;7;.735;10;22;32;11;2;3;4;8;41;mamuksa01
313;Terance Mann;SG;27;LAC;75;71;250;34;66;.515;9;27;.348;24;39;.633;.587;11;13;.832;12;22;34;16;6;2;6;19;88;mannte01
314;Tre Mann;PG;22;TOT;41;28;241;35;77;.459;11;31;.373;24;46;.516;.533;11;14;.763;5;31;36;40;12;1;16;12;93;manntr01
315;Boban Marjanovi?;C;35;HOU;14;0;51;13;24;.529;0;1;.000;13;23;.563;.529;6;10;.643;5;18;23;4;1;1;4;4;32;marjabo01
316;Lauri Markkanen;PF;26;UTA;55;55;331;78;162;.480;32;80;.399;46;82;.559;.578;45;50;.899;22;59;82;20;9;5;14;18;232;markkla01
317;Naji Marshall;SF;26;NOP;66;1;190;26;56;.463;9;23;.387;17;33;.516;.542;10;13;.791;8;28;36;19;7;2;10;14;71;marshna01
318;Caleb Martin;SF;28;MIA;64;23;274;38;87;.431;13;36;.349;25;51;.489;.504;12;15;.778;12;32;44;22;7;5;12;20;100;martica02
319;Cody Martin;SF;28;CHO;28;22;269;29;77;.381;10;31;.314;20;46;.426;.444;7;12;.606;7;32;39;37;11;6;16;17;75;martico01
320;KJ Martin;SF;23;TOT;60;2;124;16;30;.536;1;5;.286;15;26;.582;.558;4;7;.537;7;15;22;9;4;2;5;17;37;martike04
321;Garrison Mathews;SG;27;ATL;66;5;150;16;34;.456;13;29;.440;3;5;.545;.644;5;6;.810;3;11;14;6;3;1;3;17;49;mathega01
322;Bennedict Mathurin;SF;21;IND;59;19;261;50;112;.446;14;36;.374;37;76;.481;.507;31;38;.821;10;29;40;20;6;2;16;20;145;mathube01
323;Wesley Matthews;SG;37;ATL;36;3;115;9;27;.351;7;19;.348;3;8;.357;.474;5;7;.750;3;12;15;6;4;3;2;12;31;matthwe02
324;Tyrese Maxey;PG;23;PHI;70;70;375;91;203;.450;30;81;.373;61;121;.501;.524;47;54;.868;5;32;37;62;10;5;17;22;259;maxeyty01
325;Skylar Mays;PG-SG;26;TOT;38;5;114;17;42;.396;4;14;.296;12;28;.448;.447;3;4;.765;3;9;11;22;6;1;5;7;41;mayssk01
326;Miles McBride;PG;23;NYK;68;14;195;30;67;.452;16;39;.410;14;28;.511;.572;6;7;.860;5;10;15;17;7;1;4;16;83;mcbrimi01
327;CJ McCollum;PG;32;NOP;66;66;327;73;160;.459;36;84;.429;37;75;.492;.572;17;21;.827;6;37;43;46;9;6;17;19;200;mccolcj01
328;T.J. McConnell;PG;31;IND;71;4;182;46;84;.556;3;6;.409;44;77;.568;.572;7;9;.790;5;22;27;55;10;1;15;11;102;mccontj01
329;Jaden McDaniels;SF;23;MIN;72;71;292;43;87;.489;12;35;.337;31;52;.592;.557;8;11;.722;8;23;31;14;9;6;12;30;105;mcdanja02
330;Jalen McDaniels;SF;26;TOR;50;1;108;13;38;.344;2;14;.169;11;24;.449;.376;5;7;.730;4;12;16;7;4;1;6;10;34;mcdanja01
331;Doug McDermott;SF;32;TOT;64;0;141;19;44;.433;15;36;.410;5;9;.527;.599;2;3;.579;2;8;9;11;3;0;4;10;55;mcderdo01
332;JaVale McGee;C;36;SAC;46;0;74;17;29;.598;0;2;.143;17;27;.624;.602;6;10;.578;9;18;27;4;3;4;7;10;40;mcgeeja01
333;Bryce McGowens;SG;21;CHO;59;14;149;17;39;.439;6;17;.333;11;22;.523;.513;11;14;.776;3;14;17;9;4;2;5;13;51;mcgowbr01
334;Jordan McLaughlin;PG;27;MIN;56;0;112;13;26;.483;8;16;.472;5;10;.500;.628;2;3;.722;3;10;13;20;6;1;3;6;35;mclaujo01
335;De'Anthony Melton;SG;25;PHI;38;33;269;37;95;.386;20;56;.360;16;38;.425;.493;17;21;.835;7;30;37;30;16;4;10;22;111;meltode01
336;Nathan Mensah;C;25;CHO;25;0;123;5;11;.429;0;0;;5;11;.429;.429;4;5;.750;12;14;26;4;2;6;6;26;13;mensana01
337;Sam Merrill;SG;27;CLE;61;1;175;26;64;.402;23;58;.404;2;6;.385;.584;4;5;.929;4;16;20;18;3;1;3;12;80;merrisa01
338;Chimezie Metu;C;26;TOT;51;12;168;24;48;.504;5;18;.298;19;29;.633;.561;11;13;.906;8;30;38;9;8;3;10;14;65;metuch01
339;Vasilije Mici?;PG;30;TOT;60;21;196;27;62;.430;7;26;.279;19;36;.537;.488;10;13;.813;2;12;15;44;5;1;17;11;70;micicva01
340;Khris Middleton;SF;32;MIL;55;55;270;58;117;.493;17;45;.381;41;72;.563;.566;18;22;.833;7;39;47;53;9;3;23;26;151;middlkh01
341;Brandon Miller;SF;21;CHO;74;68;322;64;146;.440;25;67;.373;39;80;.495;.524;19;23;.827;8;34;43;24;9;6;18;25;173;millebr02
342;Jordan Miller;SF;24;LAC;8;0;35;6;11;.556;1;3;.500;5;9;.571;.611;3;3;1.000;4;3;6;0;0;0;1;3;16;millejo02
343;Leonard Miller;SF;20;MIN;17;0;31;8;12;.650;1;3;.400;6;9;.733;.700;1;1;.500;3;9;12;5;1;1;1;3;17;millele01
344;Dariq Whitehead;SF;19;BRK;2;0;120;5;25;.200;0;15;.000;5;10;.500;.200;5;10;.500;0;20;20;15;0;5;0;0;15;whiteda01
345;Patty Mills;PG;35;TOT;32;5;130;14;41;.351;8;27;.276;7;14;.500;.443;3;3;1.000;3;8;11;11;6;0;5;10;40;millspa02
346;Shake Milton;SG;27;TOT;48;0;121;16;41;.405;4;13;.281;13;27;.466;.451;8;10;.816;3;13;16;13;4;1;6;11;45;miltosh01
347;Justin Minaya;SF;24;POR;34;1;112;6;22;.297;4;14;.245;3;7;.400;.378;1;3;.556;9;8;16;6;3;3;3;10;18;minayju01
348;Josh Minott;SF;21;MIN;32;0;28;5;11;.472;1;3;.400;4;8;.500;.528;4;4;.857;1;4;5;3;2;2;1;3;16;minotjo01
349;Davion Mitchell;PG;25;SAC;72;4;153;20;45;.452;8;22;.361;12;23;.539;.540;4;6;.714;3;11;13;19;2;0;6;12;53;mitchda01
350;Donovan Mitchell;SG;27;CLE;55;55;353;91;198;.462;33;90;.368;58;108;.539;.545;50;58;.865;8;43;51;61;18;5;28;21;266;mitchdo01
351;Evan Mobley;PF;22;CLE;50;50;306;64;110;.580;4;12;.373;60;99;.604;.600;25;34;.719;22;71;94;32;9;14;18;27;157;mobleev01
352;Isaiah Mobley;PF;24;CLE;10;0;72;10;24;.417;3;10;.300;7;14;.500;.479;0;1;.000;3;7;10;6;2;0;2;6;23;mobleis01
353;Malik Monk;SG;25;SAC;72;0;260;55;124;.443;21;59;.350;34;65;.528;.526;24;28;.829;4;26;29;51;6;5;21;22;154;monkma01
354;Moses Moody;SG;21;GSW;66;9;175;29;64;.462;11;30;.360;18;33;.555;.548;11;14;.785;10;20;30;9;6;4;7;14;81;moodymo01
355;Xavier Moon;SG;29;LAC;14;1;85;11;33;.326;1;12;.118;9;21;.448;.348;1;1;.500;6;7;13;15;2;2;4;6;24;moonxa01
356;Taze Moore;SG;25;POR;4;0;100;20;48;.421;3;18;.143;18;30;.583;.447;3;5;.500;10;10;20;13;5;0;8;10;45;mooreta02
357;Wendell Moore Jr.;SG;22;MIN;25;0;30;4;7;.500;0;2;.000;4;5;.750;.500;0;0;;0;5;5;2;2;0;2;2;7;moorewe01
358;Ja Morant;PG;24;MEM;9;9;353;89;189;.471;16;57;.275;73;132;.555;.512;58;71;.813;7;49;56;81;8;6;30;21;251;moranja01
359;Marcus Morris;PF;34;TOT;49;7;167;24;54;.439;10;24;.403;14;30;.469;.530;7;9;.818;5;23;27;7;3;3;6;15;64;morrima03
360;Markieff Morris;PF;34;DAL;26;1;83;9;26;.338;6;16;.357;3;10;.308;.449;2;2;.833;2;13;15;6;2;1;5;5;25;morrima02
361;Monte Morris;PG;28;TOT;33;0;144;19;46;.405;8;21;.386;11;25;.422;.493;4;6;.684;2;15;17;21;6;3;2;4;50;morrimo01
362;Trey Murphy III;SF;23;NOP;57;23;296;48;109;.443;30;78;.380;19;31;.602;.579;22;26;.815;7;42;49;22;9;5;6;12;148;murphtr02
363;Dejounte Murray;SG;27;ATL;78;78;357;86;188;.459;26;71;.363;60;117;.518;.528;27;34;.794;8;45;53;64;14;3;26;18;225;murrade01
364;Jamal Murray;PG;26;DEN;59;59;315;80;167;.481;25;58;.425;56;109;.510;.554;27;31;.853;7;34;41;65;10;7;21;18;212;murraja01
365;Keegan Murray;SF;23;SAC;77;77;336;58;127;.454;24;66;.358;34;60;.560;.548;13;16;.831;14;41;55;17;10;8;8;27;152;murrake02
366;Kris Murray;SF;23;POR;62;29;217;23;59;.396;8;30;.268;15;30;.525;.463;6;9;.661;14;22;36;13;9;3;9;15;61;murrakr01
367;Mike Muscala;C;32;TOT;53;6;113;11;29;.359;5;18;.292;5;11;.467;.449;3;5;.680;7;16;24;7;2;2;4;10;30;muscami01
368;Svi Mykhailiuk;SF;26;BOS;41;2;101;14;33;.416;10;26;.389;4;7;.517;.569;1;2;.667;3;10;12;9;3;0;3;5;40;mykhasv01
369;Larry Nance Jr.;C;31;NOP;61;0;199;23;40;.573;4;11;.415;18;29;.631;.629;8;10;.770;15;35;50;19;10;3;8;16;57;nancela02
370;Pete Nance;PF;23;CLE;8;0;34;1;8;.167;1;1;1.000;0;6;.000;.250;0;3;.000;0;4;4;0;1;0;1;3;4;nancepe01
371;Andrew Nembhard;PG;24;IND;68;47;250;38;77;.498;9;25;.357;29;52;.567;.557;7;8;.804;5;15;21;41;9;1;15;21;92;nembhan01
372;Aaron Nesmith;SF;24;IND;72;47;277;44;88;.496;19;46;.419;24;42;.581;.606;15;19;.781;9;29;38;15;9;7;9;33;122;nesmiaa01
373;Georges Niang;PF;30;CLE;82;10;223;35;77;.449;18;48;.376;16;29;.572;.567;6;7;.850;3;31;34;12;4;2;9;23;94;niangge01
374;Daishen Nix;PG;21;MIN;15;0;33;6;16;.375;4;11;.353;2;5;.429;.500;2;4;.500;1;1;2;4;3;0;3;1;18;nixda01
375;Zeke Nnaji;PF;23;DEN;58;0;99;12;26;.463;1;4;.261;11;22;.500;.483;7;11;.677;11;11;22;6;3;7;5;14;32;nnajize01
376;Jaylen Nowell;SG;24;TOT;13;1;165;26;60;.436;5;22;.207;22;38;.571;.474;5;7;.778;5;14;18;15;3;2;5;12;62;nowelja01
377;Markquis Nowell;SG;24;TOR;1;0;40;0;10;.000;0;0;;0;10;.000;.000;20;20;1.000;20;0;20;20;10;0;0;0;20;nowelma01
378;Frank Ntilikina;PG;25;CHO;5;0;86;2;18;.111;2;16;.125;0;2;.000;.167;4;4;1.000;2;10;12;8;0;0;2;8;10;ntilila01
379;Jusuf Nurki?;C;29;PHO;76;76;273;42;83;.510;3;12;.244;39;71;.555;.528;22;34;.640;29;81;110;40;11;11;23;33;109;nurkiju01
380;Jordan Nwora;SF;25;TOT;52;1;137;27;58;.462;8;25;.336;18;32;.560;.535;8;10;.830;5;23;29;12;5;3;10;9;70;nworajo01
381;Royce O'Neale;SF;30;TOT;79;14;247;27;68;.397;20;53;.370;7;15;.496;.542;3;4;.686;8;40;48;28;7;6;9;22;77;onealro01
382;Chuma Okeke;SF;25;ORL;47;8;92;9;24;.357;5;17;.280;4;6;.567;.460;1;1;.571;4;13;17;4;2;1;3;4;23;okekech01
383;Josh Okogie;SG;25;PHO;60;11;160;14;34;.417;5;16;.309;10;19;.509;.488;13;17;.745;12;13;26;11;8;4;6;11;46;okogijo01
384;Onyeka Okongwu;C;23;ATL;55;8;255;41;66;.611;4;13;.333;36;54;.676;.642;17;21;.793;26;42;68;13;5;11;8;29;102;okongon01
385;Isaac Okoro;SF;23;CLE;69;42;273;34;70;.490;12;31;.391;22;38;.570;.577;13;20;.679;10;20;30;19;8;5;8;20;94;okorois01
386;Kelly Olynyk;C;32;TOT;78;27;226;35;64;.555;8;20;.387;28;44;.632;.616;19;23;.833;14;39;53;44;9;4;19;29;98;olynyke01
387;Eugene Omoruyi;SF;26;WAS;43;0;91;19;39;.485;3;11;.283;16;28;.562;.524;7;11;.653;8;12;20;8;6;1;5;14;48;omorueu01
388;Cedi Osman;SF;28;SAS;72;3;176;26;53;.479;12;31;.389;14;23;.601;.591;5;7;.673;3;22;25;17;5;2;7;15;68;osmande01
389;Kelly Oubre Jr.;SF;28;PHI;68;52;302;57;129;.441;15;48;.311;42;81;.517;.498;26;34;.750;14;36;50;15;11;7;13;29;154;oubreke01
390;Chris Paul;PG;38;GSW;58;18;264;36;81;.441;13;36;.371;22;44;.498;.525;7;9;.827;3;36;39;68;12;1;13;19;92;paulch01
391;Cameron Payne;PG;29;TOT;78;10;167;27;62;.432;13;34;.390;13;27;.486;.541;7;9;.866;3;12;15;26;5;1;8;16;74;payneca01
392;Gary Payton II;SG;31;GSW;44;0;155;23;42;.563;5;13;.364;19;29;.648;.617;3;5;.609;10;15;26;11;9;4;6;18;55;paytoga02
393;Mãozinha Pereira;SF;23;MEM;7;1;174;26;50;.514;7;19;.385;19;31;.591;.586;10;14;.700;16;37;53;3;9;6;7;14;69;pereima01
394;Drew Peterson;PF;24;BOS;3;0;77;13;20;.667;10;17;.600;3;3;1.000;.917;0;0;;0;3;3;3;7;0;3;3;37;peterdr01
395;Filip Petrušev;C;23;TOT;3;0;33;3;7;.500;0;0;;3;7;.500;.500;3;7;.500;0;3;3;0;0;0;0;3;10;petrufi01
396;Julian Phillips;SF;20;CHI;40;0;81;8;19;.416;3;10;.316;5;10;.513;.494;3;5;.684;3;6;9;3;2;2;3;10;22;phillju01
397;Jalen Pickett;SG;24;DEN;27;0;45;6;13;.429;3;9;.360;2;4;.600;.557;1;1;.750;0;5;5;8;1;0;3;5;16;pickeja02
398;Scotty Pippen Jr.;PG;23;MEM;21;16;251;48;97;.493;14;34;.417;33;62;.534;.567;20;26;.745;10;21;32;47;17;5;27;29;129;pippesc02
399;Mason Plumlee;C;33;LAC;46;11;147;19;33;.569;0;1;.000;19;32;.592;.569;15;22;.707;13;38;51;12;3;4;8;15;53;plumlma01
400;Brandin Podziemski;SG;20;GSW;74;28;266;37;81;.454;12;32;.385;24;49;.499;.529;7;11;.633;16;42;58;37;8;2;12;16;92;podzibr01
401;Jakob Poeltl;C;28;TOR;50;50;264;50;76;.656;0;0;;50;76;.656;.656;12;21;.551;29;57;86;25;7;15;15;30;111;poeltja01
402;Aleksej Pokusevski;PF;22;TOT;28;0;145;18;43;.405;6;20;.327;11;24;.470;.479;11;15;.732;6;26;32;13;5;5;7;8;52;pokusal01
403;Jordan Poole;SG;24;WAS;78;66;301;63;152;.413;24;72;.326;39;80;.492;.491;25;28;.877;4;23;27;44;11;3;24;31;174;poolejo01
404;Craig Porter Jr.;PG;23;CLE;51;6;127;23;45;.509;2;7;.353;20;38;.536;.535;8;11;.732;4;17;21;23;4;3;9;8;56;portecr01
405;Jontay Porter;PF;24;TOR;26;5;138;15;40;.385;8;23;.333;8;17;.455;.481;6;7;.833;10;22;32;23;8;8;8;13;44;portejo01
406;Michael Porter Jr.;SF;25;DEN;81;81;317;64;133;.484;27;68;.397;37;65;.575;.586;11;14;.836;13;57;70;15;5;7;11;18;167;portemi01
407;Otto Porter Jr.;SF;30;TOR;15;1;116;9;22;.424;5;15;.348;4;7;.600;.545;2;2;1.000;4;15;19;5;3;3;1;13;26;porteot01
408;Bobby Portis;PF;28;MIL;82;4;245;57;112;.508;12;30;.407;45;82;.545;.562;12;15;.790;17;57;74;13;8;4;11;23;138;portibo01
409;Kristaps Porzi??is;C;28;BOS;57;57;296;68;132;.516;19;51;.375;49;81;.606;.589;45;53;.858;17;55;72;20;7;19;16;27;201;porzikr01
410;Micah Potter;PF;25;UTA;16;0;116;12;25;.475;6;13;.429;6;12;.526;.588;4;5;.750;6;21;27;4;3;4;3;9;33;pottemi01
411;Dwight Powell;C;32;DAL;63;9;133;11;17;.679;0;0;.333;11;16;.689;.684;10;14;.708;15;19;34;13;4;3;5;18;33;poweldw01
412;Norman Powell;SG;30;LAC;76;3;262;49;101;.486;22;51;.435;27;51;.536;.594;19;23;.831;2;24;26;11;6;3;9;18;139;powelno01
413;Jason Preston;PG;24;UTA;7;0;101;9;27;.316;0;4;.000;9;23;.375;.316;0;0;;9;16;24;23;3;1;3;4;17;prestja01
414;Joshua Primo;SG;21;LAC;2;0;50;5;15;.333;0;5;.000;5;10;.500;.333;0;0;;5;0;5;0;0;5;20;0;10;primojo01
415;Taurean Prince;PF;29;LAL;78;49;270;32;73;.442;18;46;.396;14;28;.519;.566;6;9;.735;3;27;29;15;7;4;9;19;89;princta02
416;Payton Pritchard;PG;26;BOS;82;5;223;36;77;.468;18;47;.385;18;31;.593;.583;6;7;.821;9;24;32;34;5;1;7;13;96;pritcpa01
417;Olivier-Maxence Prosper;PF;21;DAL;40;1;84;10;26;.385;3;11;.289;7;15;.458;.447;7;10;.683;6;14;20;6;2;1;2;5;30;prospol01
418;Trevelin Queen;SG;26;ORL;14;0;118;10;27;.368;2;12;.176;8;15;.524;.408;6;9;.750;2;12;14;13;5;4;5;11;29;queentr01
419;Neemias Queta;C;24;BOS;28;0;119;24;37;.644;0;0;;24;37;.644;.644;7;10;.714;19;25;44;7;5;8;5;18;55;quetane01
420;Immanuel Quickley;PG-SG;24;TOT;68;38;292;57;131;.434;25;64;.395;32;68;.471;.530;31;36;.853;3;36;38;49;7;1;15;18;170;quickim01
421;Lester Quinones;SG;23;GSW;37;0;106;15;38;.397;9;24;.364;6;14;.453;.511;5;8;.690;6;14;19;10;2;1;5;12;44;quinole01
422;Jahmi'us Ramsey;SG;22;TOR;7;1;173;26;59;.439;9;31;.273;17;27;.632;.512;7;9;.833;6;26;31;11;10;0;10;14;67;ramseja01
423;Julius Randle;PF;29;NYK;46;46;354;86;182;.472;17;53;.311;69;129;.539;.518;51;66;.781;22;70;92;50;5;3;35;27;240;randlju01
424;Duop Reath;C;27;POR;68;20;179;34;73;.461;13;36;.359;21;37;.559;.549;10;14;.742;14;23;37;10;5;6;8;24;91;reathdu01
425;Austin Reaves;SG;25;LAL;82;57;321;56;115;.486;19;51;.367;37;63;.583;.568;28;33;.853;7;36;43;55;8;3;21;19;159;reaveau01
426;Cam Reddish;SF;24;LAL;48;26;205;19;49;.389;8;23;.336;11;26;.435;.468;9;11;.759;6;15;21;10;10;3;6;13;54;reddica01
427;Paul Reed;C;24;PHI;82;24;194;32;59;.540;3;7;.368;29;52;.563;.561;7;10;.718;24;36;60;13;8;10;8;24;73;reedpa01
428;Naz Reid;C;24;MIN;81;14;242;50;105;.477;21;50;.414;29;55;.535;.576;13;18;.736;9;43;52;13;8;9;14;21;135;reidna01
429;Jared Rhoden;SG;24;DET;17;0;144;19;39;.500;7;18;.387;12;21;.600;.591;3;5;.625;2;18;19;8;2;8;4;16;49;rhodeja01
430;Nick Richards;C;26;CHO;67;51;263;39;56;.691;0;0;.000;39;56;.693;.691;20;27;.737;26;55;80;8;4;11;11;26;97;richani01
431;Josh Richardson;SG;30;MIA;43;6;257;36;81;.444;15;44;.347;20;37;.561;.539;12;13;.944;4;24;28;24;6;3;8;18;99;richajo01
432;Duncan Robinson;SF;29;MIA;68;36;280;45;99;.450;28;70;.395;17;30;.579;.589;12;13;.889;2;23;25;28;7;2;14;24;129;robindu01
433;Jerome Robinson;SG;26;GSW;22;0;37;5;15;.333;1;8;.118;4;7;.563;.364;3;5;.636;0;2;3;2;0;1;1;2;14;robinje01
434;Mitchell Robinson;C;25;NYK;31;21;248;24;41;.575;0;0;;24;41;.575;.575;9;21;.409;46;39;85;6;12;11;8;18;56;robinmi01
435;Orlando Robinson;C;23;MIA;36;7;84;10;20;.500;2;4;.533;8;16;.491;.556;5;7;.760;8;16;23;9;2;2;5;10;28;robinor01
436;Jeremiah Robinson-Earl;PF;23;NOP;39;1;86;12;24;.474;3;10;.333;8;14;.571;.542;3;4;.750;6;14;19;5;3;1;4;6;29;robinje02
437;David Roddy;PF;22;TOT;65;13;181;25;63;.403;7;25;.293;18;38;.478;.462;7;10;.691;8;24;32;12;4;2;9;11;65;roddyda01
438;Ryan Rollins;PG;21;TOT;13;0;60;11;21;.519;2;3;.750;8;18;.478;.574;10;13;.765;2;8;10;11;8;2;6;6;34;rolliry01
439;Derrick Rose;PG;35;MEM;24;7;166;32;69;.461;6;17;.366;25;52;.492;.506;10;11;.889;3;16;19;33;3;1;13;9;80;rosede01
440;Terry Rozier;PG-SG;29;TOT;61;60;334;72;164;.443;24;67;.363;48;96;.498;.518;28;32;.869;6;35;40;56;10;3;17;17;198;roziete01
441;Rayan Rupert;SG;19;POR;39;12;162;14;41;.335;7;20;.359;7;21;.313;.422;5;6;.760;6;17;24;16;3;1;8;14;40;ruperra01
442;D'Angelo Russell;PG;27;LAL;76;69;327;65;142;.456;30;72;.415;35;70;.497;.560;21;25;.828;4;27;31;63;9;5;21;21;180;russeda01
443;Matt Ryan;SF;26;NOP;28;1;139;18;40;.434;15;33;.451;3;8;.364;.615;5;5;.929;2;12;14;6;2;0;7;11;54;ryanma01
444;Domantas Sabonis;C;27;SAC;82;82;357;77;130;.594;4;11;.379;73;120;.613;.609;36;51;.704;36;101;137;82;9;6;33;30;194;sabondo01
445;Luka Šamani?;PF;24;UTA;43;7;94;14;37;.380;3;15;.203;11;22;.500;.421;10;13;.786;5;19;24;4;1;2;7;7;41;samanlu01
446;Jermaine Samuels;SF;25;HOU;14;0;43;6;10;.643;0;1;.000;6;9;.750;.643;1;1;1.000;2;7;9;2;1;1;0;4;14;samueje01
447;Adama Sanogo;PF;21;CHI;9;0;73;16;30;.519;0;0;;16;30;.519;.519;9;13;.667;21;19;40;0;1;0;6;6;40;sanogad01
448;Gui Santos;PF;21;GSW;23;0;83;12;24;.509;4;12;.370;8;12;.643;.600;7;7;.941;7;14;21;6;2;1;3;10;36;santogu01
449;Dario Šari?;C;29;GSW;64;9;172;28;61;.466;12;31;.376;17;30;.560;.562;12;15;.849;11;33;44;23;5;2;12;18;80;saricda01
450;Olivier Sarr;C;24;OKC;15;0;65;7;13;.579;1;4;.333;6;9;.692;.632;7;10;.667;7;17;24;1;0;5;2;12;23;sarrol01
451;Marcus Sasser;PG;23;DET;71;11;190;31;72;.428;13;34;.375;18;38;.474;.516;8;9;.879;2;16;18;33;6;2;13;15;83;sassema01
452;Admiral Schofield;PF;26;ORL;23;0;37;4;11;.385;3;7;.375;2;4;.400;.500;0;1;.000;1;6;7;3;0;0;2;4;11;schofad01
453;Dennis Schröder;PG;30;TOT;80;58;311;50;116;.435;17;46;.375;33;70;.474;.509;22;27;.836;5;25;30;61;8;2;19;21;140;schrode01
454;Dereon Seabron;SG;23;NOP;6;0;92;7;22;.308;2;3;.500;5;18;.273;.346;8;10;.833;2;10;12;8;3;2;0;7;23;seabrde01
455;Alperen Sengun;C;21;HOU;63;63;325;84;156;.537;5;18;.297;78;138;.567;.553;39;56;.693;29;64;93;50;12;7;26;33;211;sengual01
456;Brice Sensabaugh;SF;20;UTA;32;11;183;27;68;.390;11;36;.296;16;32;.495;.468;12;13;.902;5;27;32;17;4;2;15;13;75;sensabr01
457;Collin Sexton;SG;25;UTA;78;51;266;65;133;.487;16;42;.394;48;91;.530;.549;41;47;.859;9;17;26;49;8;2;21;20;187;sextoco01
458;Landry Shamet;SG;26;WAS;46;5;158;26;60;.431;12;34;.338;14;25;.556;.527;8;10;.826;3;10;13;12;5;2;7;17;71;shamela01
459;Day'Ron Sharpe;C;22;BRK;61;1;151;28;48;.571;1;2;.267;27;46;.588;.578;12;20;.610;26;37;64;14;4;7;11;21;68;sharpda01
460;Shaedon Sharpe;SG;20;POR;32;25;331;55;136;.406;19;56;.333;36;79;.457;.475;31;37;.824;13;37;50;29;9;4;23;28;159;sharpsh01
461;Ben Sheppard;SG;22;IND;57;1;143;16;40;.393;9;27;.314;7;13;.562;.500;4;5;.885;3;13;16;9;6;0;3;15;44;sheppbe01
462;Pascal Siakam;PF;29;TOT;80;80;332;85;159;.536;11;31;.346;75;128;.581;.569;36;50;.732;17;53;71;43;8;3;18;24;217;siakapa01
463;Ben Simmons;PG;27;BRK;15;12;239;29;49;.581;0;0;;29;49;.581;.581;4;10;.400;21;59;79;57;8;6;18;24;61;simmobe01
464;Kobi Simmons;PG;26;TOR;4;0;168;23;53;.429;5;20;.250;18;33;.538;.476;0;0;;3;15;18;30;15;5;3;13;50;simmoko01
465;Anfernee Simons;SG;24;POR;46;46;344;78;182;.430;34;88;.385;44;94;.472;.523;35;39;.916;5;32;36;55;5;1;27;21;226;simonan01
466;Zavier Simpson;PG;26;MEM;7;0;230;24;77;.315;7;24;.294;17;53;.324;.361;4;6;.750;6;23;29;36;10;4;14;16;60;simpsza01
467;Jericho Sims;C;25;NYK;45;11;130;8;12;.691;0;0;;8;12;.691;.691;4;5;.667;12;20;33;6;2;4;4;10;20;simsje01
468;Dmytro Skapintsev;C;25;NYK;2;0;10;0;5;.000;0;0;;0;5;.000;.000;0;0;;0;0;0;0;0;0;0;0;0;skapidm01
469;Jalen Slawson;SF;24;SAC;12;0;31;3;5;.667;0;2;.000;3;3;1.000;.667;0;0;;1;5;6;2;1;1;2;7;7;slawsja01
470;Javonte Smart;PG;24;PHI;1;0;10;0;0;;0;0;;0;0;;;0;0;;0;0;0;0;0;0;0;0;0;smartja01
471;Marcus Smart;PG;29;MEM;20;20;303;51;119;.430;21;67;.313;30;52;.583;.519;22;28;.768;3;24;27;43;21;3;31;27;145;smartma01
472;Dennis Smith Jr.;PG;26;BRK;56;2;189;26;60;.435;6;19;.294;21;41;.502;.482;8;10;.741;9;20;29;36;12;2;12;22;66;smithde03
473;Dru Smith;SG;26;MIA;9;0;146;17;37;.455;8;19;.412;9;18;.500;.561;2;2;1.000;7;9;16;16;10;3;6;13;43;smithdr01
474;Ish Smith;PG;35;CHO;43;5;172;15;37;.418;1;2;.500;14;35;.413;.430;1;1;.750;3;15;18;34;4;1;11;11;32;smithis01
475;Jabari Smith Jr.;PF;20;HOU;76;76;319;50;110;.454;18;50;.363;32;60;.530;.537;20;24;.811;18;63;81;16;7;8;12;26;137;smithja05
476;Jalen Smith;C;23;IND;61;14;172;38;65;.592;10;24;.424;28;41;.689;.670;12;17;.692;18;37;55;10;3;6;7;20;99;smithja04
477;Nick Smith Jr.;SG;19;CHO;51;0;143;22;57;.391;12;29;.432;10;28;.350;.500;3;3;.867;4;11;14;12;2;1;8;11;59;smithni01
478;Terquavion Smith;PG;21;PHI;16;0;53;11;29;.391;8;22;.371;3;7;.455;.533;2;3;.600;0;3;3;8;5;0;4;5;33;smithte01
479;Jeremy Sochan;PF;20;SAS;74;73;296;46;105;.438;9;31;.308;36;74;.492;.483;15;19;.771;19;46;64;34;8;5;19;23;116;sochaje01
480;Pat Spencer;PG;27;GSW;6;0;43;3;7;.500;0;3;.000;3;3;1.000;.500;0;0;;3;3;7;8;0;0;2;2;7;spencpa01
481;Jaden Springer;SG-PG;21;TOT;49;2;103;12;30;.399;2;10;.208;10;20;.490;.432;7;9;.833;7;9;16;9;7;3;7;13;33;sprinja01
482;Lamar Stevens;PF;26;TOT;38;3;147;28;63;.450;4;12;.304;25;51;.485;.479;11;14;.778;9;24;33;7;6;6;6;12;72;stevela01
